X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.52
X,Y,Z
2.84,0.33,-0.66
X,Y,Z
2.84,0.33,-2.53
X,Y,Z
2.84,0.33,-4.59
X,Y,Z
2.84,0.33,-5.69
X,Y,Z
2.84,0.33,-5.83
X,Y,Z
2.84,0.33,-6.04
X,Y,Z
2.84,0.33,-6.04
X,Y,Z
2.84,0.33,-6.04
X,Y,Z
2.84,0.33,-6.04
X,Y,Z
2.84,0.33,-6.04
X,Y,Z
2.84,0.33,-6.04
X,Y,Z
2.84,0.33,-6.04
X,Y,Z
2.84,0.33,-6.04
X,Y,Z
2.84,0.33,-6.04
X,Y,Z
2.84,0.33,-6.04
X,Y,Z
2.84,0.33,-6.04
X,Y,Z
2.84,0.33,-6.04
X,Y,Z
2.84,0.33,-6.04
X,Y,Z
2.84,0.33,-6.04
X,Y,Z
2.84,0.33,-6.04
X,Y,Z
2.84,0.33,-6.04
X,Y,Z
2.84,0.33,-6.04
X,Y,Z
2.84,0.33,-6.04
X,Y,Z
2.84,0.33,-6.04
X,Y,Z
2.84,0.33,-6.04
X,Y,Z
2.84,0.33,-6.04
X,Y,Z
2.84,0.33,-6.04
X,Y,Z
2.84,0.33,-6.04
X,Y,Z
2.84,0.33,-6.04
X,Y,Z
2.84,0.33,-6.04
X,Y,Z
2.84,0.33,-6.04
X,Y,Z
2.84,0.33,-6.04
X,Y,Z
2.84,0.33,-6.04
